Channel 1
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,194.533783783784,189.130193905817,11.3375
0.067,179.412162162162,185.300554016621,12.6375
0.134,183.101351351351,181.632568262762,9.6
0.206,179.141891891892,178.357934309458,9.85
0.273,181.837837837838,177.444004748714,8.5875
0.346,166.972972972973,173.82746339533,7.7625
0.413,172.47972972973,174.165413533835,8.975
0.48,169.527027027027,172.590819153146,10.9625
0.55,169.081081081081,173.022952117135,9.6125
0.617,170.486486486486,171.458448753463,9.8875
0.685,171.581081081081,171.669964384646,9.225
0.752,168.445945945946,169.334982192323,9.1375
0.819,172.081081081081,170.464780371983,8.6875
0.886,169.02027027027,168.524732884844,8.85
0.956,174.027027027027,170.476454293629,9.1125
1.023,175.202702702703,170.469529085873,9.95
1.09,163.283783783784,170.364068064899,9.5375
1.157,169.628378378378,170.222002374357,10.9125
1.225,167.317567567568,170.07281361298,8.975
1.298,170.668918918919,170.921052631579,10.475
1.365,168.810810810811,169.095172140879,10.1375
1.432,173.108108108108,170.007320933914,10.35
1.501,168.148648648649,171.217253660467,10.925
1.568,170.804054054054,169.206173328057,10.3375
1.635,170.121621621622,170.951127819549,12.0375
1.705,170.452702702703,170.402849228334,8.5625
1.772,171.540540540541,169.780767708746,7.8125
1.839,176.668918918919,170.471903442818,9.925
1.908,176.385135135135,170.044914918876,8.2
1.975,168.222972972973,170.67886822319,9.0375
2.042,170.040540540541,169.604075979422,9.6375
2.112,172.912162162162,169.982983775228,8.325
2.18,180.668918918919,170.221210922042,7.7
2.247,173.540540540541,170.322516818362,8.325
2.314,173.945945945946,169.041353383459,8.4625
2.381,167.290540540541,169.162643450732,9.7
2.448,169.966216216216,169.191135734072,9.7875
2.522,169.777027027027,169.783735654927,9.65
2.589,173.094594594595,169.480015829046,7.4875
2.657,170.783783783784,169.746141669964,9.325
2.725,174.351351351351,169.90660862683,9.7
2.792,172.236486486486,169.954491491888,9.0875
2.86,178.344594594595,169.469529085873,9.825
2.927,170.743243243243,169.056193114365,10.1875
2.995,172.648648648649,168.431737237831,10.6
3.064,168.614864864865,169.96675900277,8.7
3.131,169.972972972973,169.294024535022,10.35
3.198,170.405405405405,168.582904629996,10.325
3.269,181.277027027027,170.422635536209,10.5
3.336,176.939189189189,170.100514444005,8.4625
3.414,,,
3.481,,,
3.559,51.9932432432432,141.620894341116,9.2875
3.626,60.4864864864865,148.875346260388,9.9875
3.693,72.777027027027,147.272061733281,9.9875
3.76,83.2702702702703,147.879897111199,8.5375
3.827,90.277027027027,149.043134151167,9.95
3.895,90.1756756756757,149.630589631975,10
3.962,98.3175675675676,150.396319746735,9.3375
4.029,105.5,149.06489908983,8.675
4.096,104.722972972973,151.058369608231,7.3
4.163,101.033783783784,150.342500989315,10.125
4.23,113.351351351351,150.244954491492,8.95
4.297,110.885135135135,151.033834586466,10.3
4.365,118.202702702703,151.350613375544,11.2375
4.432,116.581081081081,150.760189948556,10.65
4.499,117.722972972973,149.368816778789,10.3
4.566,122.858108108108,150.774238227147,9.9875
4.633,117.202702702703,151.588444796201,9.7625
4.7,125.614864864865,151.13296398892,9.9125
4.767,126.581081081081,150.853185595568,10.025
4.835,125.871621621622,150.665413533835,9.95
4.902,127.243243243243,150.392560348239,11.525
4.97,128.621621621622,150.308270676692,8.4125
5.037,129.655405405405,150.268895924021,9.5375
5.105,131.114864864865,151.734072022161,9.1125
5.173,129.135135135135,149.987534626039,7.5375
5.24,133.932432432432,150.818163830629,7.3875
5.307,130.094594594595,150.074198654531,8.0625
5.377,131.925675675676,150.40660862683,9.0125
5.445,139.033783783784,150.986545310645,9.5375
5.512,132.675675675676,150.554016620499,9.05
5.582,142.756756756757,150.995647012268,11.6375
5.649,131.614864864865,150.354174910962,10.3625
5.716,132.864864864865,150.759002770083,9.8125
5.783,135.554054054054,150.838148001583,9.1375
5.85,135.493243243243,149.322912544519,9.45
5.917,129.5,151.343490304709,10.4125
5.989,142.939189189189,151.675108824693,9.9
6.056,139.297297297297,150.689552829442,9.45
6.127,144.256756756757,152.551246537396,9.7125
6.194,145.959459459459,150.475662841314,9.3375
6.261,141.925675675676,152.156311832212,9.25
6.33,143.439189189189,150.686189157103,10.35
6.397,140.675675675676,150.903838543728,10.9625
6.464,137.013513513514,151.056588840522,8.5875
6.532,145.222972972973,151.403047091413,12.15
6.6,141.952702702703,150.64404432133,9.4375
6.667,141.081081081081,149.854570637119,8.3
6.736,136.709459459459,150.027107241789,8.7375
6.803,146.587837837838,149.909576573011,8.9875
6.87,141.824324324324,150.496240601504,9.95
6.941,143.5,150.866838148002,8.9875
7.008,137.506756756757,150.718836565097,10.1125
7.075,135.317567567568,151.185793430946,9.525
7.142,130.797297297297,149.800158290463,9.9125
7.21,138.966216216216,151.179066086268,9.55
7.277,143.628378378378,150.09022556391,10.325
7.349,145.628378378378,150.266125840918,8.175
7.416,149.702702702703,150.981994459834,8.15
7.486,149.324324324324,151.034428175702,7.85
7.553,146.263513513514,151.343688167788,8.7625
7.62,141.027027027027,150.281757024139,10.1
7.689,143.655405405405,150.837356549268,8.5625
7.756,149.783783783784,152.099920854768,9.7125
7.823,145.554054054054,151.913138108429,8.525
7.893,141.905405405405,151.902651365255,9.7125
7.96,136.885135135135,150.028690146419,10.175
8.027,150.743243243243,150.586664028492,7.375
8.098,143.486486486486,151.826078353779,7.925
8.165,143.108108108108,151.716264345073,9.2375
8.232,145.621621621622,150.429165017808,9.8625
8.3,144.905405405405,150.057776018995,10.125
8.367,148.709459459459,151.47150771666,10.1625
8.434,147.540540540541,150.807677087455,9.375
8.507,149.655405405405,151.472299168975,9.3125
8.574,146.486486486486,151.107439651761,8.5125
8.642,150.087837837838,151.15195884448,9.8375
8.71,148.006756756757,152.078353779185,10.5375
8.777,147.554054054054,152.368421052632,9.3
8.845,146.77027027027,151.40185991294,8.6875
8.912,149.358108108108,151.230510486743,9.3
8.98,145.72972972973,150.926790660863,7.9
9.05,141.709459459459,151.883458646617,9.9625
9.117,144.885135135135,150.333003561535,8.2
9.184,147.128378378378,150.173921646221,8.4
9.255,143.236486486486,150.779184804116,10.025
9.322,149.635135135135,150.917491096161,10.1125
9.389,146.75,150.403838543728,11.525
9.456,152.858108108108,152.084091808469,8.65
9.523,144.087837837838,150.730906212901,11.175
9.59,140.331081081081,151.678274633953,8.3
9.662,150.168918918919,150.734269885239,9.6125
9.729,156.209459459459,150.458053027305,8.95
9.798,147.081081081081,149.41135734072,9.725
9.865,147.783783783784,150.648001582905,7.9125
9.932,151.736486486486,150.846656113969,7.5375
10.002,150.756756756757,150.584883260784,8.8125
10.07,152.993243243243,150.848634744757,8.575
10.137,151.25,151.572615749901,10.7625
10.205,151.527027027027,150.358132172537,9.175
10.272,144.824324324324,149.990304709141,9.75
10.34,147.878378378378,148.969331222794,8.8875
10.409,156.702702702703,150.089631974674,10.45
10.476,158.864864864865,150.916303917689,8.225
10.543,151.155405405405,151.545706371191,10.4375
10.614,152.966216216216,149.845271072418,8.4875
10.681,149.040540540541,151.051444400475,9.5125
10.748,155.52027027027,151.537396121884,10.8875
10.815,149.810810810811,150.18203403245,7.7875
10.882,155.675675675676,152.1899485556,8.625
10.95,152.108108108108,149.771270280966,9.15
11.022,152.756756756757,149.619113573407,8.925
11.09,151.209459459459,151.38444796201,9.8625
11.158,149.925675675676,150.833003561535,9.8375
11.225,154.040540540541,151.12979817966,9.175
11.292,155.121621621622,151.221210922042,9.0625
11.361,148.358108108108,150.033834586466,7.875
11.428,152.993243243243,150.922635536209,8.8625
11.495,155.932432432432,148.877324891175,8.95
11.565,147.135135135135,150.05698456668,7.7375
11.632,158.527027027027,150.066679857539,9.375
11.7,153.594594594595,149.871586861892,11.075
11.77,148.560810810811,149.392758211318,10.1875
11.837,154.567567567568,151.66937079541,7.4375
11.905,149.621621621622,149.807677087455,9.2375
11.972,147.635135135135,149.458646616541,9.1625
12.039,149.263513513514,150.382469331223,8.75
12.106,148.081081081081,149.574000791452,7.65
12.178,152.391891891892,149.658686189157,9.275
12.245,149.094594594595,149.137316976652,10.4125
12.314,152.918918918919,150.789473684211,9.1125
12.381,149.709459459459,148.943806885635,10.15
12.448,148.047297297297,149.343886030867,6.875
12.518,147.972972972973,150.739018599129,8.0625
12.585,157.912162162162,149.113573407202,10.5
12.652,149.756756756757,150.135536208943,8.4375
12.722,150.736486486486,150.042540561931,12.9625
12.79,147.148648648649,149.195290858726,9.575
12.857,146.162162162162,149.808666402849,9.6625
12.924,151.445945945946,150.621487930352,10.1875
